ship_6 5FC 0F4 ne
ship_7 DBF 54A n
ship_18 2BA 8B7 e
ship_19 DBF 6E3 n
ship_24 685 8B7 e
ship_27 DBF 6B7 n
ship_32 DBF 10C n
ship_35 DBF 103 n
ship_36 96A 462 ne
ship_47 C65 8B7 e
ship_48 D1F 817 ne
ship_55 DBF 477 n
ship_62 9F9 8B7 e
ship_63 95C 8B7 e
ship_70 D71 8B7 e
ship_73 8CC 8B7 e
ship_74 70F 8B7 e
ship_75 32D 8B7 e
ship_82 DBF C4F s
ship_83 2DA 8B7 e
ship_84 DBF 9B8 s
ship_87 CD6 8B7 e
ship_88 D2A 8B7 e
ship_89 13D 8B7 e
ship_98 5EA 8B7 e
ship_101 59A 092 ne
ship_102 DBF 3FE n
ship_107 FA8 8B7 w
ship_110 E50 948 sw
ship_113 A50 C26 se
ship_118 CC6 9B0 se
ship_119 CD0 7C8 ne
ship_122 DBF 50D n
ship_129 952 44A ne
ship_132 DAB 8A3 ne
ship_139 CBC 8B7 e
ship_142 DBF 635 n
ship_151 624 11C ne
ship_152 DBF 7B3 n
ship_153 103 8B7 e
ship_156 975 D01 se
ship_161 C35 8B7 e
ship_162 B15 8B7 e
ship_163 DBF EAB s
ship_166 73E 236 ne
ship_167 DBF 681 n
ship_172 DBF 012 n
ship_173 DBF A0B s
ship_176 5A5 8B7 e
ship_177 DBF 1E4 n
ship_178 ADA 8B7 e
ship_181 211 8B7 e
ship_186 7EC 8B7 e
ship_191 673 16B ne
ship_196 7B0 EC6 se
ship_201 B1C B5A se
ship_204 57A 8B7 e
ship_205 DBF C73 s
ship_212 794 8B7 e
ship_219 BA3 69B ne
ship_220 BA9 6A1 ne
ship_223 676 16E ne
ship_224 DBF A57 s
ship_225 6E8 8B7 e
ship_228 DBF CA7 s
ship_229 D44 83C ne
ship_232 B70 8B7 e
ship_243 A25 8B7 e
ship_250 FFD 8B7 w
ship_251 DBF AFA s
ship_252 DBF 47D n
ship_255 EA4 99C sw
ship_270 DBF BBF s
ship_273 5DA 0D2 ne
ship_274 9C1 8B7 e
ship_275 72D F49 se
ship_280 DBF 1E0 n
ship_281 9BA 4B2 ne
ship_292 905 3FD ne
ship_293 DBF 66C n
ship_294 813 8B7 e
ship_295 DBF A00 s
ship_298 DBF 186 n
ship_305 DBF B0B s
ship_310 DBF 70D n
ship_313 75F 8B7 e
ship_314 482 8B7 e
ship_315 9B4 8B7 e
ship_318 DBF 36E n
ship_323 DBF 45C n
ship_328 B53 B23 se
ship_335 E59 951 sw
ship_336 4A9 8B7 e
ship_339 97B 473 ne
ship_350 DBF CF2 s
ship_351 6D1 8B7 e
ship_352 D25 81D ne
ship_359 E56 820 nw
ship_360 8B7 DBF se
ship_361 D60 858 ne
ship_362 5FB 0F3 ne
ship_373 F89 A81 sw
ship_374 ED0 8B7 w
ship_381 570 8B7 e
ship_382 8FB D7B se
ship_383 3DD 8B7 e
ship_384 DBF 60A n
ship_385 4E9 8B7 e
ship_388 DBF 37B n
ship_389 952 D24 se
ship_390 DBF FCD s
ship_391 ACD 5C5 ne
ship_392 DBF 2FE n
ship_397 5DA 8B7 e
ship_398 DBF 434 n
ship_401 7D8 2D0 ne
ship_402 6CA FAC se
ship_405 DBF FB1 s
ship_416 D05 8B7 e
ship_419 DBF 575 n
ship_424 A90 BE6 se
ship_425 DBF E7F s
ship_426 F96 A8E sw
ship_429 968 8B7 e
ship_432 FF0 8B7 w
ship_433 5F8 8B7 e
ship_442 DBF AAE s
ship_443 637 8B7 e
ship_446 DBF D69 s
ship_453 10B 8B7 e
ship_456 DBF ABD s
ship_457 DBF 5A6 n
ship_460 496 8B7 e
ship_463 DBF BBD s
ship_472 A2A C4C se
ship_485 DBF 7D6 n
ship_492 725 21D ne
ship_495 CE2 994 se
ship_496 3EA 8B7 e
probe_18491 115 AA2 s
probe_18491 115 AA2 s
probe_3809 C20 51F s
probe_3809 C20 51F s
probe_3778 35F A72 e
probe_3778 35F A72 e
probe_13423 455 791 sw
probe_13423 455 791 sw
probe_4517 2B0 466 nw
probe_4517 2B0 466 nw
probe_12721 07D 59E w
probe_12721 07D 59E w
probe_5174 8EE C9D sw
probe_5174 8EE C9D sw
probe_9463 793 789 ne
probe_9463 793 789 ne
probe_17923 B75 1C8 nw
probe_17923 B75 1C8 nw
probe_13276 D71 AC9 w
probe_13276 D71 AC9 w
probe_6859 CBA 1B7 nw
probe_6859 CBA 1B7 nw
probe_8135 9DB 2F7 sw
probe_8135 9DB 2F7 sw
probe_15433 929 E38 n
probe_15433 929 E38 n
probe_6392 747 5BB sw
probe_6392 747 5BB sw
probe_14471 42F 16B se
probe_14471 42F 16B se
probe_13551 E81 723 se
probe_13551 E81 723 se
probe_16286 61C 47C e
probe_16286 61C 47C e
probe_3920 327 860 sw
probe_3920 327 860 sw
probe_835 1AC 9AC se
probe_835 1AC 9AC se
probe_10826 1EB 1EA w
probe_10826 1EB 1EA w
probe_12870 E2F 72D nw
probe_12870 E2F 72D nw
probe_18426 858 5DF e
probe_18426 858 5DF e
probe_9109 818 298 e
probe_9109 818 298 e
probe_1521 EDB 50A se
probe_1521 EDB 50A se
probe_11054 352 E0C n
probe_11054 352 E0C n
probe_2419 364 242 e
probe_2419 364 242 e
probe_19419 244 CF9 nw
probe_19419 244 CF9 nw
probe_113 0A2 7C6 se
probe_113 0A2 7C6 se
probe_949 CB7 B62 n
probe_949 CB7 B62 n
probe_9303 14A 982 n
probe_9303 14A 982 n
probe_15390 EB1 7B4 se
probe_15390 EB1 7B4 se
probe_9616 553 CF0 n
probe_9616 553 CF0 n
probe_10214 AF0 981 ne
probe_10214 AF0 981 ne
probe_18290 32A 9A0 se
probe_18290 32A 9A0 se
probe_14285 4F0 EE4 w
probe_14285 4F0 EE4 w
probe_171 15E 5EB nw
probe_171 15E 5EB nw
probe_4358 468 E84 e
probe_4358 468 E84 e
probe_14655 7BE 2E9 nw
probe_14655 7BE 2E9 nw
probe_9184 B61 421 ne
probe_9184 B61 421 ne
probe_2471 0AE 5C6 se
probe_2471 0AE 5C6 se
probe_6264 014 44B ne
probe_6264 014 44B ne
probe_4103 18C 681 se
probe_4103 18C 681 se
probe_11657 A95 97A n
probe_11657 A95 97A n
probe_18285 665 9A6 w
probe_18285 665 9A6 w
probe_13834 452 752 ne
probe_13834 452 752 ne
probe_7401 821 EA1 n
probe_7401 821 EA1 n
probe_17638 F50 A9A w
probe_17638 F50 A9A w
probe_16883 5D2 30E ne
probe_16883 5D2 30E ne
probe_4470 CD1 B21 s
probe_4470 CD1 B21 s
probe_2285 294 5EC e
probe_2285 294 5EC e
probe_7736 71C 82B w
probe_7736 71C 82B w
probe_10550 C26 444 nw
probe_10550 C26 444 nw
probe_10361 215 A10 ne
probe_10361 215 A10 ne
probe_6664 02C C4C se
probe_6664 02C C4C se
probe_13876 F74 E65 se
probe_13876 F74 E65 se
probe_15352 DA1 52B e
probe_15352 DA1 52B e
probe_15764 E16 50F se
probe_15764 E16 50F se
probe_11692 ADF 3B9 nw
probe_11692 ADF 3B9 nw
probe_14730 186 5D0 w
probe_14730 186 5D0 w
probe_713 6AE 249 n
probe_713 6AE 249 n
probe_12840 03E CEA ne
probe_12840 03E CEA ne
probe_8862 08E A64 nw
probe_8862 08E A64 nw
probe_18097 A9E 2CF s
probe_18097 A9E 2CF s
probe_4116 049 0C8 se
probe_4116 049 0C8 se
probe_18492 ECE EFE e
probe_18492 ECE EFE e
probe_2369 DDD 339 sw
probe_2369 DDD 339 sw
probe_255 860 7E6 n
probe_255 860 7E6 n
probe_5846 241 71D s
probe_5846 241 71D s
probe_9125 903 9FE w
probe_9125 903 9FE w
probe_19782 66E A74 nw
probe_19782 66E A74 nw
probe_5735 29B 6C1 se
probe_5735 29B 6C1 se
probe_10234 BE0 2CE e
probe_10234 BE0 2CE e
probe_10643 10A 244 w
probe_10643 10A 244 w
probe_16543 C54 426 n
probe_16543 C54 426 n
probe_6865 4A9 13C e
probe_6865 4A9 13C e
probe_2632 F14 7A5 w
probe_2632 F14 7A5 w
probe_9557 4C8 221 e
probe_9557 4C8 221 e
probe_13509 D50 429 ne
probe_13509 D50 429 ne
probe_13764 B7A 248 nw
probe_13764 B7A 248 nw
probe_11439 644 9E6 sw
probe_11439 644 9E6 sw
probe_15092 517 C4B n
probe_15092 517 C4B n
probe_7049 BC1 F01 e
probe_7049 BC1 F01 e
probe_937 319 EF9 se
probe_937 319 EF9 se
probe_153 EAF 888 s
probe_153 EAF 888 s
probe_3825 317 F45 s
probe_3825 317 F45 s
probe_16237 0F6 633 s
probe_16237 0F6 633 s
probe_7197 52A DE1 ne
probe_7197 52A DE1 ne
probe_10519 988 833 s
probe_10519 988 833 s
probe_14482 0F5 90A nw
probe_14482 0F5 90A nw
probe_5564 9C8 833 n
probe_5564 9C8 833 n
probe_5201 0E0 700 n
probe_5201 0E0 700 n
probe_1232 B61 A93 nw
probe_1232 B61 A93 nw
probe_1120 F71 7F9 w
probe_1120 F71 7F9 w
probe_17458 E2D 0A5 ne
probe_17458 E2D 0A5 ne
probe_11331 6B7 E9B e
probe_11331 6B7 E9B e
probe_4341 048 573 se
probe_4341 048 573 se
probe_9997 723 F58 nw
probe_9997 723 F58 nw
probe_11432 B0D 2E0 e
probe_11432 B0D 2E0 e
probe_4592 CC5 FAE ne
probe_4592 CC5 FAE ne
probe_8992 709 453 sw
probe_8992 709 453 sw
probe_107 4AF A9D sw
probe_107 4AF A9D sw
probe_13842 E3E F03 se
probe_13842 E3E F03 se
