timestamp,intersection_id,mode,ring1_phase,ring1_state,ring1_elapsed_ms,ring2_phase,ring2_state,ring2_elapsed_ms,p1,p2,p3,p4,p5,p6,p7,p8,event
2025-08-12T16:00:00Z,17,NORMAL,4,G,13953,8,G,13953,R,R,R,G,R,R,R,G,
2025-08-12T16:00:01Z,17,NORMAL,4,G,14949,8,G,14949,R,R,R,G,R,R,R,G,
2025-08-12T16:00:02Z,17,NORMAL,4,G,15932,8,G,15932,R,R,R,G,R,R,R,G,
2025-08-12T16:00:03Z,17,NORMAL,4,G,16897,8,G,16897,R,R,R,G,R,R,R,G,
2025-08-12T16:00:04Z,17,NORMAL,4,G,17872,8,G,17872,R,R,R,G,R,R,R,G,
2025-08-12T16:00:05Z,17,NORMAL,4,G,18829,8,G,18829,R,R,R,G,R,R,R,G,
2025-08-12T16:00:06Z,17,NORMAL,4,G,19874,8,G,19874,R,R,R,G,R,R,R,G,
2025-08-12T16:00:07Z,17,NORMAL,4,Y,0,8,Y,0,R,R,R,Y,R,R,R,Y,
2025-08-12T16:00:08Z,17,NORMAL,4,Y,991,8,Y,991,R,R,R,Y,R,R,R,Y,
2025-08-12T16:00:09Z,17,NORMAL,4,Y,1964,8,Y,1964,R,R,R,Y,R,R,R,Y,
2025-08-12T16:00:10Z,17,NORMAL,4,Y,2924,8,Y,2924,R,R,R,Y,R,R,R,Y,
2025-08-12T16:00:11Z,17,NORMAL,4,AR,0,8,AR,0,R,R,R,R,R,R,R,R,
2025-08-12T16:00:12Z,17,NORMAL,2,G,0,6,G,0,R,G,R,R,R,G,R,R,
2025-08-12T16:00:13Z,17,NORMAL,2,G,1035,6,G,1035,R,G,R,R,R,G,R,R,
2025-08-12T16:00:14Z,17,NORMAL,2,G,2057,6,G,2057,R,G,R,R,R,G,R,R,
2025-08-12T16:00:15Z,17,NORMAL,2,G,3061,6,G,3061,R,G,R,R,R,G,R,R,
2025-08-12T16:00:16Z,17,NORMAL,2,G,4020,6,G,4020,R,G,R,R,R,G,R,R,
2025-08-12T16:00:17Z,17,NORMAL,2,G,5062,6,G,5062,R,G,R,R,R,G,R,R,
2025-08-12T16:00:18Z,17,NORMAL,2,G,6091,6,G,6091,R,G,R,R,R,G,R,R,
2025-08-12T16:00:19Z,17,NORMAL,2,G,7102,6,G,7102,R,G,R,R,R,G,R,R,
2025-08-12T16:00:20Z,17,NORMAL,2,G,8056,6,G,8056,R,G,R,R,R,G,R,R,
2025-08-12T16:00:21Z,17,NORMAL,2,G,9059,6,G,9059,R,G,R,R,R,G,R,R,
2025-08-12T16:00:22Z,17,NORMAL,2,G,10083,6,G,10083,R,G,R,R,R,G,R,R,
2025-08-12T16:00:23Z,17,NORMAL,2,G,11055,6,G,11055,R,G,R,R,R,G,R,R,
2025-08-12T16:00:24Z,17,NORMAL,2,G,12092,6,G,12092,R,G,R,R,R,G,R,R,
2025-08-12T16:00:25Z,17,NORMAL,2,G,13111,6,G,13111,R,G,R,R,R,G,R,R,
2025-08-12T16:00:26Z,17,NORMAL,2,G,14117,6,G,14117,R,G,R,R,R,G,R,R,
2025-08-12T16:00:27Z,17,NORMAL,2,G,15105,6,G,15105,R,G,R,R,R,G,R,R,
2025-08-12T16:00:28Z,17,NORMAL,2,G,16103,6,G,16103,R,G,R,R,R,G,R,R,
2025-08-12T16:00:29Z,17,NORMAL,2,G,17083,6,G,17083,R,G,R,R,R,G,R,R,
2025-08-12T16:00:30Z,17,NORMAL,2,G,18050,6,G,18050,R,G,R,R,R,G,R,R,
2025-08-12T16:00:31Z,17,NORMAL,2,G,19100,6,G,19100,R,G,R,R,R,G,R,R,
2025-08-12T16:00:32Z,17,NORMAL,2,Y,0,6,Y,0,R,Y,R,R,R,Y,R,R,
2025-08-12T16:00:33Z,17,NORMAL,2,Y,971,6,Y,971,R,Y,R,R,R,Y,R,R,
2025-08-12T16:00:34Z,17,NORMAL,2,Y,1963,6,Y,1963,R,Y,R,R,R,Y,R,R,
2025-08-12T16:00:35Z,17,NORMAL,2,AR,0,6,AR,0,R,R,R,R,R,R,R,R,
2025-08-12T16:00:36Z,17,NORMAL,4,G,0,8,G,0,R,R,R,G,R,R,R,G,
2025-08-12T16:00:37Z,17,NORMAL,4,G,1033,8,G,1033,R,R,R,G,R,R,R,G,
2025-08-12T16:00:38Z,17,NORMAL,4,G,1986,8,G,1986,R,R,R,G,R,R,R,G,
2025-08-12T16:00:39Z,17,NORMAL,4,G,2988,8,G,2988,R,R,R,G,R,R,R,G,
2025-08-12T16:00:40Z,17,NORMAL,4,G,3988,8,G,3988,R,R,R,G,R,R,R,G,
2025-08-12T16:00:41Z,17,NORMAL,4,G,5037,8,G,5037,R,R,R,G,R,R,R,G,
2025-08-12T16:00:42Z,17,NORMAL,4,G,6006,8,G,6006,R,R,R,G,R,R,R,G,
2025-08-12T16:00:43Z,17,NORMAL,4,G,7024,8,G,7024,R,R,R,G,R,R,R,G,
2025-08-12T16:00:44Z,17,NORMAL,4,G,7985,8,G,7985,R,R,R,G,R,R,R,G,
2025-08-12T16:00:45Z,17,NORMAL,4,G,8995,8,G,8995,R,R,R,G,R,R,R,G,
2025-08-12T16:00:46Z,17,NORMAL,4,G,10026,8,G,10026,R,R,R,G,R,R,R,G,
2025-08-12T16:00:47Z,17,NORMAL,4,G,11005,8,G,11005,R,R,R,G,R,R,R,G,
2025-08-12T16:00:48Z,17,NORMAL,4,G,11973,8,G,11973,R,R,R,G,R,R,R,G,
2025-08-12T16:00:49Z,17,NORMAL,4,G,12923,8,G,12923,R,R,R,G,R,R,R,G,
