timestamp,intersection_id,mode,ring1_phase,ring1_state,ring1_elapsed_ms,ring2_phase,ring2_state,ring2_elapsed_ms,p1,p2,p3,p4,p5,p6,p7,p8,event
2025-08-12T14:00:00Z,17,NORMAL,2,G,1011,6,G,1011,R,G,R,R,R,G,R,R,
2025-08-12T14:00:01Z,17,NORMAL,2,G,2004,6,G,2004,R,G,R,R,R,G,R,R,
2025-08-12T14:00:02Z,17,NORMAL,2,G,2984,6,G,2984,R,G,R,R,R,G,R,R,
2025-08-12T14:00:03Z,17,NORMAL,2,G,3946,6,G,3946,R,G,R,R,R,G,R,R,
2025-08-12T14:00:04Z,17,NORMAL,2,G,4918,6,G,4918,R,G,R,R,R,G,R,R,
2025-08-12T14:00:05Z,17,NORMAL,2,G,5872,6,G,5872,R,G,R,R,R,G,R,R,
2025-08-12T14:00:06Z,17,NORMAL,2,G,6914,6,G,6914,R,G,R,R,R,G,R,R,
2025-08-12T14:00:07Z,17,NORMAL,2,G,7938,6,G,7938,R,G,R,R,R,G,R,R,
2025-08-12T14:00:08Z,17,NORMAL,2,G,8926,6,G,8926,R,G,R,R,R,G,R,R,
2025-08-12T14:00:09Z,17,NORMAL,2,G,9896,6,G,9896,R,G,R,R,R,G,R,R,
2025-08-12T14:00:10Z,17,NORMAL,2,G,10853,6,G,10853,R,G,R,R,R,G,R,R,
2025-08-12T14:00:11Z,17,NORMAL,2,G,11893,6,G,11893,R,G,R,R,R,G,R,R,
2025-08-12T14:00:12Z,17,NORMAL,2,G,12943,6,G,12943,R,G,R,R,R,G,R,R,
2025-08-12T14:00:13Z,17,NORMAL,2,G,13975,6,G,13975,R,G,R,R,R,G,R,R,
2025-08-12T14:00:14Z,17,NORMAL,2,G,14994,6,G,14994,R,G,R,R,R,G,R,R,
2025-08-12T14:00:15Z,17,NORMAL,2,G,15995,6,G,15995,R,G,R,R,R,G,R,R,
2025-08-12T14:00:16Z,17,NORMAL,2,G,16951,6,G,16951,R,G,R,R,R,G,R,R,
2025-08-12T14:00:17Z,17,NORMAL,2,G,17990,6,G,17990,R,G,R,R,R,G,R,R,
2025-08-12T14:00:18Z,17,NORMAL,2,G,19016,6,G,19016,R,G,R,R,R,G,R,R,
2025-08-12T14:00:19Z,17,NORMAL,2,Y,0,6,Y,0,R,Y,R,R,R,Y,R,R,
2025-08-12T14:00:20Z,17,NORMAL,2,Y,1018,6,Y,1018,R,Y,R,R,R,Y,R,R,
2025-08-12T14:00:21Z,17,NORMAL,2,Y,2018,6,Y,2018,R,Y,R,R,R,Y,R,R,
2025-08-12T14:00:22Z,17,NORMAL,2,AR,0,6,AR,0,R,R,R,R,R,R,R,R,
2025-08-12T14:00:23Z,17,NORMAL,4,G,0,8,G,0,R,R,R,G,R,R,R,G,
2025-08-12T14:00:24Z,17,NORMAL,4,G,1034,8,G,1034,R,R,R,G,R,R,R,G,
2025-08-12T14:00:25Z,17,NORMAL,4,G,2050,8,G,2050,R,R,R,G,R,R,R,G,
2025-08-12T14:00:26Z,17,NORMAL,4,G,3053,8,G,3053,R,R,R,G,R,R,R,G,
2025-08-12T14:00:27Z,17,NORMAL,4,G,4038,8,G,4038,R,R,R,G,R,R,R,G,
2025-08-12T14:00:28Z,17,NORMAL,4,G,5033,8,G,5033,R,R,R,G,R,R,R,G,
2025-08-12T14:00:29Z,17,NORMAL,4,G,6010,8,G,6010,R,R,R,G,R,R,R,G,
2025-08-12T14:00:30Z,17,NORMAL,4,G,6974,8,G,6974,R,R,R,G,R,R,R,G,
2025-08-12T14:00:31Z,17,NORMAL,4,G,8021,8,G,8021,R,R,R,G,R,R,R,G,
2025-08-12T14:00:32Z,17,NORMAL,4,G,9071,8,G,9071,R,R,R,G,R,R,R,G,
2025-08-12T14:00:33Z,17,NORMAL,4,G,10103,8,G,10103,R,R,R,G,R,R,R,G,
2025-08-12T14:00:34Z,17,NORMAL,4,G,11122,8,G,11122,R,R,R,G,R,R,R,G,
2025-08-12T14:00:35Z,17,NORMAL,4,G,12123,8,G,12123,R,R,R,G,R,R,R,G,
2025-08-12T14:00:36Z,17,NORMAL,4,G,13134,8,G,13134,R,R,R,G,R,R,R,G,
2025-08-12T14:00:37Z,17,NORMAL,4,G,14127,8,G,14127,R,R,R,G,R,R,R,G,
2025-08-12T14:00:38Z,17,NORMAL,4,G,15107,8,G,15107,R,R,R,G,R,R,R,G,
2025-08-12T14:00:39Z,17,NORMAL,4,G,16069,8,G,16069,R,R,R,G,R,R,R,G,
2025-08-12T14:00:40Z,17,NORMAL,4,G,17096,8,G,17096,R,R,R,G,R,R,R,G,
2025-08-12T14:00:41Z,17,NORMAL,4,G,18105,8,G,18105,R,R,R,G,R,R,R,G,
2025-08-12T14:00:42Z,17,NORMAL,4,G,19101,8,G,19101,R,R,R,G,R,R,R,G,
2025-08-12T14:00:43Z,17,NORMAL,4,Y,0,8,Y,0,R,R,R,Y,R,R,R,Y,
2025-08-12T14:00:44Z,17,NORMAL,4,Y,988,8,Y,988,R,R,R,Y,R,R,R,Y,
2025-08-12T14:00:45Z,17,NORMAL,4,Y,1958,8,Y,1958,R,R,R,Y,R,R,R,Y,
2025-08-12T14:00:46Z,17,NORMAL,4,Y,2915,8,Y,2915,R,R,R,Y,R,R,R,Y,
2025-08-12T14:00:47Z,17,NORMAL,4,AR,0,8,AR,0,R,R,R,R,R,R,R,R,
2025-08-12T14:00:48Z,17,NORMAL,2,G,0,6,G,0,R,G,R,R,R,G,R,R,
